river_level,rainfall,humidity,soil_moisture,drainage_cap,temp,risk_score,risk_label
46.3152,72.2427,67.3452,0.493,0.4217,31.4781,0,Low
47.3032,70.6936,68.1502,0.4937,0.4304,32.0713,0,Low
45.7604,5.4989,66.3472,0.2456,0.2043,38.7392,0,Low
53.0069,185.6294,74.3695,0.7951,0.832,26.9545,2,High
44.3881,5.0907,66.2698,0.3245,0.1932,35.0609,0,Low
48.0739,77.4488,75.3229,0.4506,0.2988,33.4566,1,Medium
46.5491,35.6007,62.038,0.3293,0.3872,34.5902,0,Low
52.6451,142.5608,79.4942,0.7751,0.4854,32.2289,1,Medium
50.0124,70.2289,77.966,0.4841,0.3578,31.1035,1,Medium
43.7792,0.1028,53.465,0.2238,0.1029,33.6702,0,Low
42.1377,50.9637,66.2247,0.4163,0.3197,32.2259,0,Low
43.4845,11.9898,64.9147,0.2185,0.18,32.6609,0,Low
47.1673,155.3333,82.7952,0.6128,0.5276,28.8953,1,Medium
45.5094,7.1585,61.2625,0.2781,0.2725,35.0262,0,Low
50.8684,110.5678,84.5633,0.5984,0.4912,29.9115,1,Medium
49.7399,75.2446,64.9933,0.4563,0.4727,33.0842,1,Medium
43.64,18.0362,57.2083,0.3079,0.1466,35.4301,0,Low
44.9577,74.8166,57.9091,0.4241,0.3013,30.5471,0,Low
43.7123,32.8083,59.1998,0.3074,0.1804,34.8368,0,Low
44.6047,40.9482,62.4073,0.3367,0.3192,31.0548,0,Low
50.8697,176.1136,86.2552,0.7018,0.7851,26.1001,2,High
49.5374,134.0394,83.5643,0.5925,0.5246,32.5001,1,Medium
55.257,122.8616,72.381,0.6122,0.3674,29.631,2,High
48.5086,83.5526,70.984,0.5539,0.4665,31.2531,1,Medium
51.6473,80.4916,78.2485,0.5362,0.4684,35.1143,1,Medium
51.4004,151.0841,80.2143,0.7516,0.5553,29.3074,2,High
49.838,51.6245,69.8209,0.4175,0.3681,32.4174,1,Medium
47.3059,84.9122,77.4921,0.5398,0.4885,29.8043,1,Medium
45.4126,15.5315,57.525,0.207,0.0497,35.3094,0,Low
43.6141,12.3954,56.0686,0.3023,0.2936,37.4031,0,Low
53.2571,190.6169,94.7915,0.8204,0.8099,27.2411,2,High
44.6163,18.4417,65.4779,0.2137,0.1794,36.8397,0,Low
51.9905,126.852,71.1244,0.5113,0.5523,29.6358,1,Medium
53.1894,210.3936,84.1718,0.8958,0.9279,25.0737,2,High
44.2107,4.0247,59.5616,0.2919,0.1496,33.8671,0,Low
47.8053,110.5086,82.4394,0.5543,0.5686,29.0899,1,Medium
48.287,29.8698,69.0904,0.395,0.2954,36.56,0,Low
45.1425,81.4606,76.7398,0.4644,0.3225,34.0039,1,Medium
47.9158,93.5654,70.917,0.515,0.3142,32.0371,1,Medium
44.8793,24.5054,63.3925,0.3494,0.3044,29.2781,0,Low
44.8044,92.2074,68.9173,0.389,0.3097,34.2673,1,Medium
44.5217,24.3752,61.3342,0.3008,0.3067,33.2622,0,Low
49.642,82.662,65.9586,0.5457,0.2761,30.4497,1,Medium
48.6395,23.5506,58.9376,0.3326,0.2573,33.3919,0,Low
46.5492,43.3753,62.4418,0.3843,0.2796,33.3447,0,Low
51.5106,125.4947,76.8438,0.5832,0.6433,30.841,1,Medium
54.9616,158.0846,84.2353,0.7752,0.6645,30.852,2,High
45.4586,20.7589,71.2377,0.265,0.2639,35.2263,0,Low
53.8243,188.5063,84.5634,0.8017,0.6874,27.5174,2,High
48.2225,138.3121,82.3034,0.6527,0.5599,28.7241,1,Medium
53.6415,211.5304,88.7182,0.7921,0.8343,24.7828,2,High
43.0365,9.1513,66.0956,0.1828,0.1743,35.394,0,Low
49.5224,102.5964,68.087,0.5939,0.419,31.9554,1,Medium
50.8009,167.0269,80.7059,0.7234,0.7309,26.7917,2,High
46.2307,41.3559,69.1041,0.3252,0.3983,31.2375,0,Low
51.8467,109.7281,78.2698,0.6317,0.6142,32.1782,1,Medium
45.6847,115.3835,79.1534,0.4761,0.5639,29.5407,1,Medium
48.0152,14.6874,69.1024,0.2674,0.1898,32.077,0,Low
46.8618,189.0032,77.7919,0.7152,0.6239,25.5464,2,High
46.0943,7.4613,54.7724,0.2716,0.1134,35.734,0,Low
48.6505,250.0,97.8063,0.8614,0.7669,28.1432,2,High
54.5623,167.4308,87.5074,0.7748,0.6607,30.334,2,High
45.995,43.7188,69.3961,0.4308,0.4407,29.495,0,Low
44.289,47.2071,80.1525,0.3454,0.1823,32.9193,0,Low
51.3163,118.5825,72.0222,0.5651,0.5079,31.8887,1,Medium
45.1127,52.6158,69.2122,0.3736,0.2949,29.9438,0,Low
46.6913,22.342,62.7734,0.2172,0.1275,37.344,0,Low
49.5303,63.7509,72.032,0.5452,0.3733,28.8469,1,Medium
48.3152,92.5154,74.8313,0.4563,0.5122,32.5091,1,Medium
44.7424,35.9835,62.4497,0.3373,0.2891,32.8596,0,Low
46.0629,36.3705,67.0309,0.3556,0.3233,33.9817,0,Low
43.8383,7.6004,61.4814,0.2064,0.252,34.8677,0,Low
53.9928,110.763,76.1478,0.7085,0.5611,28.8188,2,High
48.2088,23.3412,68.9367,0.4509,0.2562,35.1379,0,Low
50.3654,216.0191,100.0,0.805,0.7806,25.9058,2,High
44.2823,67.0583,59.8192,0.4303,0.2881,33.4839,0,Low
44.2331,3.1659,66.8874,0.1913,0.1677,33.5726,0,Low
45.0644,90.9498,75.9453,0.5297,0.4494,30.8739,1,Medium
44.6672,91.9579,69.1657,0.5235,0.5332,32.4349,1,Medium
43.1234,0.2788,58.2261,0.2678,0.1582,33.5425,0,Low
49.7978,92.7926,77.4013,0.4554,0.3995,33.6311,1,Medium
55.178,207.91,89.3601,0.8671,0.6698,27.2742,2,High
47.0425,72.7803,69.9443,0.423,0.4178,36.0545,0,Low
46.0314,33.4781,61.2537,0.3103,0.1572,33.3327,0,Low
45.1439,42.4089,62.1418,0.4148,0.2744,33.85,0,Low
51.1894,155.8079,76.9846,0.6195,0.5478,28.3166,2,High
45.2228,3.521,57.9434,0.2757,0.2521,34.8705,0,Low
50.4712,86.0792,71.4085,0.5693,0.4771,32.668,1,Medium
50.535,178.3923,86.7472,0.7195,0.7222,31.1011,2,High
52.3638,159.4308,78.2051,0.7614,0.7135,31.4848,2,High
48.4358,80.5603,75.056,0.5108,0.3696,33.3397,1,Medium
44.7181,18.083,57.992,0.2701,0.1565,32.1419,0,Low
49.8726,80.3136,75.0884,0.5637,0.3119,31.0505,1,Medium
52.0311,161.8964,78.3354,0.71,0.6457,29.6931,2,High
47.5225,8.4408,71.2671,0.3565,0.1691,33.0705,0,Low
45.8844,7.3588,64.2718,0.2818,0.2308,34.6727,0,Low
50.9105,226.1134,95.861,0.8591,0.8912,26.2765,2,High
46.8215,27.2245,62.9514,0.3256,0.3172,37.5518,0,Low
49.474,48.2713,69.7936,0.3572,0.3121,32.7547,0,Low
47.6756,31.869,58.2009,0.3425,0.2719,30.5788,0,Low
46.6359,69.2327,64.8123,0.3787,0.3514,33.772,0,Low
49.8109,116.1614,74.7258,0.6077,0.6634,32.4433,1,Medium
52.6934,219.1568,98.2714,0.9294,0.7764,30.791,2,High
53.2365,149.7317,85.9953,0.7487,0.6296,28.1304,2,High
51.9211,230.2375,81.0506,0.8639,0.807,23.0449,2,High
48.3915,159.0007,77.3298,0.663,0.5621,29.3452,1,Medium
48.5158,83.3243,71.2314,0.5103,0.3932,32.7157,1,Medium
44.9855,26.3378,69.9689,0.3239,0.2518,35.1033,0,Low
47.7262,85.9682,73.2565,0.573,0.3609,30.7543,1,Medium
48.1048,50.2053,54.3418,0.4421,0.4484,33.8483,0,Low
50.1091,44.6569,60.3887,0.4347,0.3706,33.427,1,Medium
49.6143,158.7254,85.8219,0.699,0.7036,27.5246,1,Medium
44.0556,11.0084,62.5617,0.2395,0.1826,32.3659,0,Low
44.3363,11.6484,62.3054,0.2626,0.1802,33.8869,0,Low
45.5803,122.5275,82.7137,0.583,0.505,29.9639,1,Medium
51.4084,221.2407,89.2428,0.835,0.7442,27.524,2,High
50.9749,239.4172,97.0124,0.9281,0.9482,25.3603,2,High
49.6492,101.2973,82.3908,0.551,0.5657,29.924,1,Medium
47.8512,117.8367,77.6193,0.6554,0.5708,31.3602,1,Medium
46.4205,49.1626,62.4109,0.3982,0.4367,32.8884,0,Low
55.3297,244.4294,92.0876,1.0,1.0,23.833,2,High
44.7428,108.9317,70.7343,0.4593,0.5849,31.3242,1,Medium
52.6963,179.7183,73.9555,0.863,0.6855,29.1475,2,High
48.0745,60.7428,64.5512,0.4611,0.1905,32.3922,1,Medium
45.4335,26.5986,66.9013,0.3829,0.3201,37.236,0,Low
46.8331,37.5196,65.2997,0.3524,0.3107,35.9704,0,Low
54.9374,170.7203,90.6952,0.8013,0.6895,29.2139,2,High
52.732,160.5485,83.1964,0.6758,0.6076,27.8481,2,High
50.5108,220.9618,95.3527,0.9486,0.9211,22.5213,2,High
50.4285,78.5608,62.2002,0.5319,0.3084,29.4245,1,Medium
45.0082,14.5772,59.8477,0.3723,0.3481,36.1973,0,Low
51.3305,185.0297,84.5594,0.7648,0.8209,25.7512,2,High
46.6803,63.2667,64.7301,0.4448,0.3705,33.2895,0,Low
50.208,156.0775,89.4796,0.7458,0.6558,26.9691,2,High
48.6217,107.0433,65.3364,0.5715,0.4025,30.3566,1,Medium
50.0354,141.8746,79.293,0.6429,0.6469,28.3642,1,Medium
54.096,225.5369,97.2377,0.8968,0.9091,27.6513,2,High
49.2919,27.8333,67.7134,0.3575,0.3164,35.6997,0,Low
47.3972,119.4507,74.824,0.7002,0.4622,26.9875,1,Medium
45.9558,103.6865,70.016,0.4764,0.3376,33.5515,1,Medium
46.2279,89.4889,77.9835,0.3781,0.3756,30.897,1,Medium
47.1755,82.7223,68.9756,0.4771,0.4141,33.8628,1,Medium
48.08,49.4777,62.7743,0.4101,0.393,35.6517,0,Low
46.5028,176.6471,89.731,0.6749,0.6389,26.8066,1,Medium
43.9479,13.697,63.4545,0.2307,0.271,37.6922,0,Low
54.7323,109.775,73.6084,0.6384,0.5901,27.0321,2,High
49.0801,34.0656,66.3953,0.3207,0.2975,31.566,0,Low
51.1593,118.5498,78.8226,0.7091,0.6107,29.4214,1,Medium
44.5717,18.8174,62.3657,0.2955,0.1972,32.1813,0,Low
49.5445,191.1027,87.523,0.7763,0.6352,24.463,2,High
43.2833,3.8467,49.7252,0.2808,0.1521,36.8984,0,Low
45.844,50.8435,66.5901,0.5145,0.2977,32.0715,0,Low
48.8204,71.7548,66.8477,0.4532,0.4642,32.2866,1,Medium
51.9323,199.3171,83.9077,0.8408,0.8113,28.3804,2,High
47.1264,33.5083,61.2678,0.3965,0.1438,35.8406,0,Low
47.5561,33.2147,62.1669,0.3966,0.2979,36.7745,0,Low
54.1393,233.9527,91.2677,0.9866,0.7389,23.8961,2,High
44.9642,126.9478,78.603,0.5945,0.4564,33.0166,1,Medium
45.5657,1.8954,56.5977,0.2368,0.2331,35.2476,0,Low
48.3761,59.1449,70.8707,0.4962,0.2464,32.9707,0,Low
47.4708,35.7796,68.6885,0.3613,0.1845,33.0117,0,Low
49.0287,100.14,77.6476,0.5585,0.3961,31.612,1,Medium
46.5475,55.9211,72.5046,0.4323,0.2306,35.8506,0,Low
43.8803,21.9302,60.2284,0.2449,0.1179,35.4378,0,Low
48.156,100.3804,72.6998,0.5538,0.463,33.1824,1,Medium
48.7172,8.1661,62.3763,0.3501,0.1034,32.9333,0,Low
52.1281,211.2987,87.4571,0.7625,0.7339,25.6839,2,High
50.62,138.5509,73.6047,0.7303,0.5968,29.6231,1,Medium
48.2512,92.5,70.4382,0.4737,0.4797,32.3087,1,Medium
50.752,211.5449,97.7897,0.851,0.8434,27.2297,2,High
52.8219,150.7129,77.384,0.7985,0.5446,32.5672,2,High
48.9436,63.9321,64.9818,0.489,0.2819,31.111,1,Medium
51.4572,184.3079,83.0685,0.8345,0.6224,28.5604,2,High
47.5488,110.1024,78.1989,0.602,0.5562,31.6145,1,Medium
52.8848,115.5329,77.9147,0.6139,0.5394,29.577,1,Medium
45.5223,0.2626,63.568,0.201,0.1361,34.8595,0,Low
46.4634,67.96,82.1771,0.45,0.2875,30.9555,0,Low
51.7671,138.3287,83.4713,0.7123,0.6012,30.0578,1,Medium
49.2822,124.2806,81.8968,0.6613,0.6428,27.3917,1,Medium
49.7347,135.0608,93.2068,0.6778,0.6647,32.9807,2,High
46.1873,11.801,64.0999,0.2658,0.1002,34.04,0,Low
52.8834,151.311,79.2241,0.7684,0.7081,27.5207,2,High
50.9349,163.6873,81.4019,0.6201,0.5094,24.9777,2,High
44.5024,14.8301,67.3602,0.3363,0.2024,33.698,0,Low
46.7038,65.4934,62.9102,0.3824,0.3093,31.9063,0,Low
48.1961,120.2412,67.1008,0.5348,0.5196,30.8018,1,Medium
49.2396,118.1,72.4287,0.7151,0.4806,29.8567,1,Medium
54.4292,228.5987,96.1031,0.9356,0.8451,31.6489,2,High
53.0436,188.6219,89.3707,0.8035,0.6426,24.9146,2,High
47.7698,47.9154,65.9082,0.3428,0.3107,34.3114,0,Low
49.5734,160.9269,87.8757,0.7206,0.5458,29.3749,1,Medium
54.1852,195.1695,90.3652,0.8886,0.7291,24.4977,2,High
44.8811,23.4669,65.0052,0.2814,0.2316,33.4101,0,Low
50.2717,91.8836,72.7774,0.4357,0.397,36.0229,1,Medium
45.6771,3.6168,64.9881,0.3445,0.2697,33.8088,0,Low
47.0011,66.8976,73.1422,0.4202,0.2017,36.3653,0,Low
49.6382,122.9662,75.85,0.5927,0.536,29.86,1,Medium
44.7966,31.5866,68.4892,0.3155,0.1997,33.8015,0,Low
51.1097,129.0336,74.7961,0.6044,0.5807,29.0895,1,Medium
47.8837,80.514,72.4464,0.5441,0.4264,29.7939,1,Medium
52.3863,158.754,84.2276,0.7712,0.725,26.2224,2,High
44.867,89.8333,70.9016,0.4825,0.4081,30.1934,1,Medium
